YEAR,AVG,LOW,HIGH
1935,853.2,701.7,928.4
1936,981.87,906.9,1024.6
1937,1073.98,1022.2,1102.8
1938,1143.94,1094.85,1173.8
1939,1171.69,1157.4,1183.45
1940,1171.9,1164.65,1182.15
1941,1196.42,1167.1,1220.4
1942,1194.55,1171.25,1213.2
1943,1188.12,1177,1201.55
1944,1176.95,1158.1,1199.55
1945,1166.03,1147.4,1180.7
1946,1155.02,1147.45,1163.95
1947,1160.51,1133.1,1180.13
1948,1172.87,1154.51,1192.15
1949,1171.91,1147.17,1196.61
1950,1163.09,1151.75,1177.15
1951,1157.03,1141.34,1168.19
1952,1170.99,1133.99,1199.88
1953,1155.72,1145.78,1165.87
1954,1124.6,1105.4,1141.44
1955,1097.08,1089.72,1105.91
1956,1098.96,1083.57,1116.62
1957,1142.93,1091,1182.52
1958,1185.38,1163.64,1205.43
1959,1174.81,1167.28,1182.31
1960,1170.82,1163.78,1183.71
1961,1156.6,1153.56,1162.67
1962,1183.46,1153.56,1203.98
1963,1164.25,1136.93,1190.98
1964,1108.53,1088.14,1131.74
1965,1113.01,1088.31,1129.74
1966,1130.98,1127.59,1133.07
1967,1130.47,1127.71,1133.42
1968,1135.77,1132.07,1139.65
1969,1144.1,1139.34,1152.5
1970,1151.78,1150.53,1153.65
1971,1152.35,1148.29,1160.13
1972,1158.87,1154.35,1168.35
1973,1180.6,1172.75,1186.34
1974,1174.11,1169.6,1180.14
1975,1177.62,1173.66,1180.41
1976,1181.56,1177.84,1187.87
1977,1182.22,1175.34,1193.01
1978,1186.57,1183.31,1193.31
1979,1197.6,1194.86,1202.61
1980,1202.84,1198.99,1204.92
1981,1197.05,1192.67,1204.31
1982,1200.27,1196.42,1208.37
1983,1214.95,1206.83,1225.44
1984,1209.21,1205.91,1212.92
1985,1209.63,1205.49,1214.25
1986,1206.85,1201.59,1210.39
1987,1208.88,1205.99,1211.03
1988,1204.16,1199.15,1211.7
1989,1193.52,1189.02,1202.49
1990,1183.24,1177.89,1191.75
1991,1175.28,1171.73,1180.06
1992,1176.51,1173.59,1180.31
1993,1189.05,1183.64,1193.46
1994,1181.77,1175.67,1190.97
1995,1182.97,1178.33,1190.92
1996,1192.11,1190.02,1194.38
1997,1203.7,1195.63,1214.64
1998,1213.62,1211.59,1215.76
1999,1210.54,1206.4,1213.94
2000,1203.54,1196.12,1214.26
2001,1185.09,1177.22,1197.27
2002,1162.19,1152.13,1177.94
2003,1145.34,1139.12,1154.42
2004,1131.39,1125.73,1140.39
2005,1140.16,1135.27,1147.66
2006,1131.22,1125.36,1141.2
2007,1117.19,1110.95,1129.55
2008,1109.44,1104.42,1116.93
2009,1099.06,1093.26,1111.78
2010,1091.15,1081.94,1103.21
2011,1108.01,1091.73,1132.83
2012,1121.46,1115.16,1134.18
2013,1110.53,1104.04,1122.32
2014,1090.06,1080.6,1108.75
2015,1080.48,1075.08,1088.98
2016,1077.23,1071.64,1084.17
2017,1083.2,1079.03,1089.78
2018,1081.51,1076.81,1088.21